,Age
2753,33.0
8143,29.0
2967,33.0
7742,29.0
5619,31.0
132,45.0
5171,31.0
6239,31.0
11565,30.0
10674,29.0
3508,34.0
8626,30.0
2582,33.0
1185,45.0
2375,33.0
1309,45.0
10526,29.0
3354,34.0
11865,30.0
6506,31.0
1441,45.0
11578,30.0
5418,31.0
9187,30.0
2745,33.0
9229,30.0
119,45.0
7836,29.0
2904,33.0
1963,33.0
9039,30.0
4137,34.0
3992,34.0
6967,29.0
2977,33.0
2259,33.0
7019,29.0
4616,31.0
7059,29.0
5833,31.0
11404,30.0
9475,29.0
1859,33.0
7948,29.0
4452,31.0
10437,29.0
8809,30.0
10671,29.0
8328,30.0
2505,33.0
1757,33.0
8268,29.0
8921,30.0
5749,31.0
568,45.0
9107,30.0
8707,30.0
4095,34.0
7671,29.0
5859,31.0
4983,31.0
9749,29.0
10603,29.0
10597,29.0
10485,29.0
8661,30.0
6620,31.0
1701,33.0
6558,31.0
3728,34.0
5085,31.0
10900,29.0
11634,30.0
10963,29.0
3861,34.0
7838,29.0
576,45.0
5129,31.0
9057,30.0
5424,31.0
4984,31.0
6125,31.0
4434,31.0
10279,29.0
2913,33.0
11006,29.0
2490,33.0
3686,34.0
882,45.0
11454,30.0
8404,30.0
6109,31.0
6526,31.0
838,45.0
1078,45.0
5633,31.0
8148,29.0
9884,29.0
11934,30.0
9960,29.0
10539,29.0
2724,33.0
190,45.0
10294,29.0
5253,31.0
7194,29.0
5239,31.0
2168,33.0
9013,30.0
5877,31.0
3948,34.0
3858,34.0
10110,29.0
4783,31.0
2364,33.0
10607,29.0
9061,30.0
11298,30.0
11676,30.0
5898,31.0
4143,34.0
3965,34.0
4626,31.0
11359,30.0
7177,29.0
10390,29.0
10160,29.0
937,45.0
3024,33.0
4679,31.0
3350,34.0
9546,29.0
669,45.0
609,45.0
3163,34.0
3295,34.0
4384,31.0
4998,31.0
2813,33.0
3153,34.0
8259,29.0
11421,30.0
6077,31.0
11248,30.0
11948,30.0
11885,30.0
4425,31.0
7026,29.0
8887,30.0
6936,29.0
5070,31.0
7017,29.0
5007,31.0
11121,30.0
7573,29.0
11896,30.0
748,45.0
8861,30.0
3290,34.0
6225,31.0
6865,29.0
10617,29.0
3006,33.0
9863,29.0
4459,31.0
8020,29.0
2908,33.0
5958,31.0
9117,30.0
4474,31.0
10480,29.0
1604,45.0
1978,33.0
2849,33.0
7989,29.0
9399,30.0
11604,30.0
7302,29.0
2345,33.0
10471,29.0
10922,29.0
1410,45.0
6227,31.0
6699,29.0
11730,30.0
4247,34.0
5245,31.0
2013,33.0
11396,30.0
6792,29.0
3729,34.0
3523,34.0
3930,34.0
2743,33.0
9909,29.0
5296,31.0
8678,30.0
570,45.0
375,45.0
7018,29.0
11483,30.0
8415,30.0
1382,45.0
2996,33.0
9541,29.0
589,45.0
2043,33.0
180,45.0
9961,29.0
9476,29.0
8224,29.0
4197,34.0
10802,29.0
10031,29.0
11706,30.0
1995,33.0
2929,33.0
1981,33.0
7789,29.0
2473,33.0
2098,33.0
3176,34.0
6899,29.0
9502,29.0
5702,31.0
11197,30.0
11630,30.0
10422,29.0
8967,30.0
4675,31.0
9549,29.0
9043,30.0
4883,31.0
10037,29.0
6092,31.0
9189,30.0
3981,34.0
4722,31.0
3973,34.0
8755,30.0
1968,33.0
1063,45.0
3821,34.0
3497,34.0
7108,29.0
6285,31.0
1430,45.0
8804,30.0
8433,30.0
9972,29.0
1538,45.0
10080,29.0
801,45.0
2516,33.0
11065,29.0
9808,29.0
8392,30.0
10308,29.0
5407,31.0
9648,29.0
11078,29.0
6810,29.0
1732,33.0
8993,30.0
3071,33.0
10057,29.0
2943,33.0
4569,31.0
10099,29.0
5058,31.0
4334,34.0
8869,30.0
6878,29.0
5909,31.0
327,45.0
1914,33.0
6893,29.0
3416,34.0
11499,30.0
11617,30.0
6739,29.0
1129,45.0
10138,29.0
7111,29.0
6741,29.0
10550,29.0
6455,31.0
1773,33.0
4909,31.0
6856,29.0
9550,29.0
3196,34.0
9306,30.0
7531,29.0
8414,30.0
9241,30.0
9402,30.0
1095,45.0
11688,30.0
3758,34.0
10013,29.0
8587,30.0
3297,34.0
8217,29.0
7138,29.0
8659,30.0
5864,31.0
4607,31.0
4059,34.0
3509,34.0
10023,29.0
1950,33.0
5209,31.0
334,45.0
8860,30.0
8796,30.0
8208,29.0
10740,29.0
7489,29.0
2581,33.0
7057,29.0
48,45.0
4917,31.0
8650,30.0
158,45.0
11655,30.0
2164,33.0
9635,29.0
8694,30.0
1786,33.0
8522,30.0
11621,30.0
3135,34.0
2040,33.0
7734,29.0
2916,33.0
1341,45.0
3369,34.0
506,45.0
1071,45.0
4964,31.0
4399,31.0
8670,30.0
10992,29.0
3610,34.0
10060,29.0
9360,30.0
5798,31.0
1584,45.0
11718,30.0
321,45.0
11666,30.0
4340,34.0
474,45.0
11595,30.0
762,45.0
9268,30.0
8492,30.0
2252,33.0
3382,34.0
4498,31.0
3617,34.0
5532,31.0
7404,29.0
2222,33.0
267,45.0
9201,30.0
1895,33.0
10445,29.0
5971,31.0
7680,29.0
699,45.0
6373,31.0
2351,33.0
4113,34.0
298,45.0
10557,29.0
5370,31.0
1351,45.0
11667,30.0
3145,34.0
4907,31.0
9102,30.0
9575,29.0
11328,30.0
10051,29.0
10972,29.0
9582,29.0
11994,30.0
6200,31.0
9296,30.0
10956,29.0
4660,31.0
7117,29.0
8051,29.0
1323,45.0
9665,29.0
5981,31.0
11327,30.0
2947,33.0
1112,45.0
6413,31.0
7687,29.0
7399,29.0
6909,29.0
4409,31.0
3946,34.0
8675,30.0
1798,33.0
173,45.0
10982,29.0
6495,31.0
3777,34.0
4961,31.0
2491,33.0
8977,30.0
7997,29.0
10840,29.0
2837,33.0
8571,30.0
6921,29.0
11810,30.0
10690,29.0
9172,30.0
2669,33.0
3779,34.0
10837,29.0
2402,33.0
5782,31.0
9126,30.0
5813,31.0
11494,30.0
9478,29.0
2403,33.0
3847,34.0
8282,29.0
6903,29.0
11135,30.0
6923,29.0
2010,33.0
4874,31.0
5290,31.0
11559,30.0
4547,31.0
4720,31.0
4484,31.0
9270,30.0
5148,31.0
2437,33.0
9059,30.0
2472,33.0
3137,34.0
11591,30.0
301,45.0
4543,31.0
902,45.0
428,45.0
7469,29.0
9859,29.0
510,45.0
3063,33.0
1250,45.0
5882,31.0
6619,31.0
5903,31.0
9954,29.0
8028,29.0
8701,30.0
5459,31.0
10134,29.0
4307,34.0
11791,30.0
4392,31.0
1115,45.0
4029,34.0
11697,30.0
10328,29.0
10268,29.0
5396,31.0
9045,30.0
2213,33.0
4193,34.0
1651,45.0
11102,29.0
3299,34.0
3288,34.0
5013,31.0
384,45.0
10400,29.0
1858,33.0
970,45.0
